year,district_name,district_code,subject,avg_scaled_score,sgp,n_students,participation_rate
2019,Abby Kelley Foster Charter Public (District),4450000,ELA,507.5,55.0,          95,
2019,Abby Kelley Foster Charter Public (District),4450000,MATH,505.2,70.1,          95,
2019,Abington,10000,ELA,506.6,46.4,         150,
2019,Abington,10000,MATH,504.9,48.6,         151,
2019,Academy Of the Pacific Rim Charter Public (District),4120000,ELA,506.7,59.6,          64,
2019,Academy Of the Pacific Rim Charter Public (District),4120000,MATH,498.7,63.0,          65,
2019,Acton-Boxborough,6000000,ELA,521.3,59.3,         436,
2019,Acton-Boxborough,6000000,MATH,528.2,57.3,         434,
2019,Advanced Math and Science Academy Charter (District),4300000,ELA,525.9,54.5,         151,
2019,Advanced Math and Science Academy Charter (District),4300000,MATH,533.1,81.0,         152,
2019,Agawam,50000,ELA,505.0,50.8,         285,
2019,Agawam,50000,MATH,504.6,52.7,         283,
2019,Amesbury,70000,ELA,513.3,62.5,         156,
2019,Amesbury,70000,MATH,509.4,49.5,         154,
2019,Amherst-Pelham,6050000,ELA,513.0,54.9,         231,
2019,Amherst-Pelham,6050000,MATH,509.6,59.2,         228,
2019,Andover,90000,ELA,518.7,54.9,         459,
2019,Andover,90000,MATH,518.8,61.7,         463,
2019,Argosy Collegiate Charter School (District),35090000,ELA,507.3,61.0,          32,
2019,Argosy Collegiate Charter School (District),35090000,MATH,509.0,64.2,          32,
2019,Arlington,100000,ELA,516.6,53.4,         351,
2019,Arlington,100000,MATH,516.9,55.9,         350,
2019,Ashburnham-Westminster,6100000,ELA,509.7,46.5,         167,
2019,Ashburnham-Westminster,6100000,MATH,513.3,50.2,         167,
2019,Ashland,140000,ELA,517.1,57.6,         211,
2019,Ashland,140000,MATH,519.0,62.4,         210,
2019,Assabet Valley Regional Vocational Technical,8010000,ELA,500.5,53.0,         283,
2019,Assabet Valley Regional Vocational Technical,8010000,MATH,501.3,59.2,         282,
2019,Athol-Royalston,6150000,ELA,499.0,58.3,          83,
